CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
2564,1,0,0,562,90003,327,33.964131,-118.272783,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157,1,1,86,3239,3
6511,1,0,0,562,90005,405,34.059281,-118.30742,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925,1,1,67,2701,13
6551,1,0,0,562,90006,393,34.048013,-118.293953,0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104,1,1,86,5372,13
5604,1,0,0,562,90010,410,34.062125,-118.315709,0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646,1,1,84,5003,13
174,1,0,0,562,90015,385,34.039224,-118.266293,1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265,1,1,89,5340,2
2937,1,0,0,562,90020,416,34.066367,-118.309868,0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416,1,1,78,5925,4
6207,1,0,0,562,90022,367,34.02381,-118.156582,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340,1,1,100,5433,5
723,1,0,0,562,90024,415,34.066303,-118.435479,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609,1,1,92,4832,3
4584,1,0,0,562,90028,447,34.099869,-118.326843,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1,1,77,5789,2
6119,1,0,0,562,90029,440,34.089953,-118.294824,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2592,1,1,97,2915,2
6199,1,0,0,562,90032,428,34.078821,-118.177576,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,184,1,1,74,3022,4
4292,1,0,0,562,90039,462,34.110845,-118.259595,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2742,1,1,66,2454,4
3828,1,0,0,562,90041,483,34.137412,-118.207607,1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3074,1,1,65,2941,4
5803,1,0,0,562,90042,465,34.11572,-118.192754,0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,202,1,1,70,5674,5
5510,1,0,0,562,90056,340,33.987945,-118.370442,0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,809,1,1,90,5586,5
6630,1,0,0,562,90061,296,33.92128,-118.274186,0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,789,1,1,82,2966,5
5305,1,0,0,562,90063,388,34.044271,-118.185237,0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5113,1,1,69,5302,3
1129,1,0,0,562,90065,458,34.108833,-118.229715,1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1274,1,1,81,3179,3
4043,1,0,0,77,90211,411,34.063947,-118.383001,0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6234,1,1,96,5571,17
4191,1,0,0,442,90255,338,33.97803,-118.217141,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5966,1,1,87,2483,18
6488,1,0,0,575,90262,299,33.923573,-118.200669,0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4199,1,1,70,3457,19
6099,1,0,0,592,90292,337,33.977468,-118.445475,0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6384,1,1,86,5806,10
173,1,0,0,453,90301,323,33.956445,-118.358634,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,252,1,1,66,2604,14
3208,1,0,0,453,90303,308,33.936291,-118.332639,0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2175,1,1,88,5337,11
2233,1,0,0,906,90403,378,34.031529,-118.491156,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110,5833,1,1,86,5034,9
327,1,0,0,1019,90504,259,33.867257,-118.330794,1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4391,1,1,75,5154,12
3419,1,0,0,1094,90602,330,33.972119,-118.020188,0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2475,1,1,67,2793,8
3763,1,0,0,1094,90606,335,33.976678,-118.065875,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,124,1,1,87,5998,17
274,1,0,0,493,90631,311,33.940619,-117.9513,1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1931,1,1,76,4415,18
3079,1,0,0,766,90660,343,33.989524,-118.089299,0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1755,1,1,95,4638,19
4403,1,0,0,49,90704,109,33.391181,-118.421305,0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,912,1,1,99,4190,10
2158,1,0,0,408,90710,218,33.798266,-118.300237,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3032,1,1,80,2301,14
1632,1,0,0,518,90712,247,33.840524,-118.148403,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6058,1,1,76,2570,7
262,1,0,0,559,90720,215,33.79499,-118.065591,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5510,1,1,76,3964,7
2863,1,0,0,891,90731,176,33.736387,-118.284363,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4664,1,1,66,2662,7
1446,1,0,0,165,90745,230,33.822295,-118.26411,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3821,1,1,73,2600,15
2724,1,0,0,556,90804,206,33.783047,-118.1486,1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95,5236,1,1,94,2786,16
589,1,0,0,18,91001,536,34.196837,-118.142236,0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,1,1,86,5719,17
2359,1,0,0,635,91016,498,34.1528,-118.000482,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,1,1,75,4287,18
